mission_no,agv_id,mission_type,original_run_id,cmd_id,container_id,related_target_id,src_pos,dst_pos,start_time,end_time,start_s,end_s,makespan,sku_qty,duration_breakdown
124,1,reshuffle,20260203174348,5935,42,123,(0;10;1),(0;1;5),1705366888,1705367021,3688,3821,3821.0,2,30.0 + 73.0 + 30.0
125,3,reshuffle,20260203174348,5935,361,123,(0;10;2),(0;1;4),1705366918,1705367051,3718,3851,3851.0,2,30.0 + 73.0 + 30.0
126,4,reshuffle,20260203174348,5935,252,123,(0;10;3),(0;1;3),1705366948,1705367081,3748,3881,3881.0,2,30.0 + 73.0 + 30.0
127,0,reshuffle,20260203174348,5935,376,123,(0;10;4),(0;1;2),1705367006,1705367111,3806,3911,3911.0,2,30.0 + 45.0 + 30.0
128,2,reshuffle,20260203174348,5935,144,123,(0;10;5),(0;1;1),1705367036,1705367141,3836,3941,3941.0,2,30.0 + 45.0 + 30.0
129,1,reshuffle,20260203174348,5935,326,123,(0;10;6),(0;1;0),1705367066,1705367171,3866,3971,3971.0,2,30.0 + 45.0 + 30.0
130,3,target,20260203174348,5935,123,123,(0;10;7),work station 1 (Port 1),1705367096,1705367226,3896,4026,4026.0,2,30.0 + 60.0 + 30.0 + 10.0
131,0,return,20260203174350,5936,123,123,work station 1 (Port 1),(3;0;2),1705367230,1705367315,4030,4115,4115.0,2,30.0 + 25.0 + 30.0
132,4,reshuffle,20260203174312,5869,39,100,(3;10;5),(0;10;7),1705367141,1705367216,3941,4016,4016.0,4,30.0 + 15.0 + 30.0
133,2,target,20260203174312,5869,100,100,(3;10;6),work station 1 (Port 1),1705367201,1705367346,4001,4146,4146.0,4,30.0 + 75.0 + 30.0 + 10.0
134,0,return,20260203174348,5934,100,100,work station 1 (Port 1),(3;0;1),1705367354,1705367439,4154,4239,4239.0,4,30.0 + 25.0 + 30.0
