cmd_id,cmd_type,source_position,dest_position,parent_carrier_id,create_user,create_time,batch_run_id,order_scenario,inv_scenario,selection_algo_ver,selection_run_id,batch_time_window,batch_algo_ver
5885,target,0000300206,0,C00074,Algorithm_Experiment,2026-02-03 17:43:21.766659,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174321,10,
5886,target,0000200601,0,C00083,Algorithm_Experiment,2026-02-03 17:43:21.766659,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174321,10,
5887,target,0000200704,0,C00086,Algorithm_Experiment,2026-02-03 17:43:21.766659,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174321,10,
5888,target,0000500506,1,C00091,Algorithm_Experiment,2026-02-03 17:43:23.800748,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174323,10,
5889,target,0000300003,1,C00104,Algorithm_Experiment,2026-02-03 17:43:23.800748,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174323,10,
5890,target,0000400305,1,C00113,Algorithm_Experiment,2026-02-03 17:43:23.800748,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174323,10,
5891,target,0000400902,0,C00126,Algorithm_Experiment,2026-02-03 17:43:25.458285,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174325,10,
5892,target,0000300804,0,C00141,Algorithm_Experiment,2026-02-03 17:43:25.458285,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174325,10,
5893,target,0000400506,1,C00149,Algorithm_Experiment,2026-02-03 17:43:26.735051,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174326,10,
5894,target,0000500804,1,C00160,Algorithm_Experiment,2026-02-03 17:43:26.735051,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174326,10,
5895,target,0000100407,1,C00177,Algorithm_Experiment,2026-02-03 17:43:26.735051,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174326,10,
5896,target,0000400704,0,C00181,Algorithm_Experiment,2026-02-03 17:43:28.389703,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174328,10,
5897,target,0000100904,0,C00182,Algorithm_Experiment,2026-02-03 17:43:28.389703,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174328,10,
5898,target,0000400302,0,C00197,Algorithm_Experiment,2026-02-03 17:43:28.389703,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174328,10,
5899,target,0000200804,1,C00199,Algorithm_Experiment,2026-02-03 17:43:30.049051,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174330,10,
5900,target,0000300903,1,C00201,Algorithm_Experiment,2026-02-03 17:43:30.049051,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174330,10,
5901,target,0000100107,1,C00203,Algorithm_Experiment,2026-02-03 17:43:30.049051,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174330,10,
5902,target,0000501003,1,C00239,Algorithm_Experiment,2026-02-03 17:43:30.049051,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174330,10,
5903,target,0000000505,0,C00243,Algorithm_Experiment,2026-02-03 17:43:32.086275,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174332,10,
5904,target,0000000507,0,C00251,Algorithm_Experiment,2026-02-03 17:43:32.086275,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174332,10,
5905,target,0000000100,0,C00255,Algorithm_Experiment,2026-02-03 17:43:32.086275,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174332,10,
5906,target,0000200106,0,C00259,Algorithm_Experiment,2026-02-03 17:43:32.086275,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174332,10,
5907,target,0000400803,1,C00267,Algorithm_Experiment,2026-02-03 17:43:35.932384,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174335,10,
5908,target,0000400507,1,C00268,Algorithm_Experiment,2026-02-03 17:43:35.932384,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174335,10,
5909,target,0000501005,1,C00272,Algorithm_Experiment,2026-02-03 17:43:35.932384,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174335,10,
5910,target,0000100405,1,C00292,Algorithm_Experiment,2026-02-03 17:43:35.932384,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174335,10,
5911,target,0000501006,0,C00300,Algorithm_Experiment,2026-02-03 17:43:37.980927,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174337,10,
5912,target,0000401005,0,C00335,Algorithm_Experiment,2026-02-03 17:43:37.980927,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174337,10,
5913,target,0000001002,0,C00338,Algorithm_Experiment,2026-02-03 17:43:37.980927,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174337,10,
5914,target,0000100401,1,C00035,Algorithm_Experiment,2026-02-03 17:43:39.644645,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174339,10,
5915,target,0000200704,1,C00086,Algorithm_Experiment,2026-02-03 17:43:39.644645,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174339,10,
5916,target,0000501003,1,C00239,Algorithm_Experiment,2026-02-03 17:43:39.644645,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174339,10,
5917,target,0000300506,1,C00369,Algorithm_Experiment,2026-02-03 17:43:39.644645,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174339,10,
5918,target,0000300802,1,C00384,Algorithm_Experiment,2026-02-03 17:43:39.644645,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174339,10,
5919,target,0000400305,0,C00113,Algorithm_Experiment,2026-02-03 17:43:42.078861,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174342,10,
5920,target,0000300804,0,C00141,Algorithm_Experiment,2026-02-03 17:43:42.078861,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174342,10,
5921,target,0000100407,0,C00177,Algorithm_Experiment,2026-02-03 17:43:42.078861,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174342,10,
5922,target,0000501003,0,C00239,Algorithm_Experiment,2026-02-03 17:43:42.078861,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174342,10,
5923,target,0000200106,0,C00259,Algorithm_Experiment,2026-02-03 17:43:42.078861,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174342,10,
5924,target,0000000905,0,C00286,Algorithm_Experiment,2026-02-03 17:43:42.078861,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174342,10,
5925,target,0000100405,0,C00292,Algorithm_Experiment,2026-02-03 17:43:42.078861,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174342,10,
5926,target,0000001002,0,C00338,Algorithm_Experiment,2026-02-03 17:43:42.078861,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174342,10,
5927,target,0000000206,0,C00008,Algorithm_Experiment,2026-02-03 17:43:45.661760,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174345,10,
5928,target,0000100402,0,C00024,Algorithm_Experiment,2026-02-03 17:43:45.661760,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174345,10,
5929,target,0000501004,0,C00050,Algorithm_Experiment,2026-02-03 17:43:45.661760,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174345,10,
5930,target,0000000303,1,C00052,Algorithm_Experiment,2026-02-03 17:43:47.325021,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174347,10,
5931,target,0000400205,1,C00064,Algorithm_Experiment,2026-02-03 17:43:47.325021,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174347,10,
5932,target,0000500407,1,C00068,Algorithm_Experiment,2026-02-03 17:43:47.325021,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174347,10,
5933,target,0000201005,0,C00071,Algorithm_Experiment,2026-02-03 17:43:48.973787,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174348,10,
5934,target,0000301006,0,C00100,Algorithm_Experiment,2026-02-03 17:43:48.973787,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174348,10,
5935,target,0000001007,0,C00123,Algorithm_Experiment,2026-02-03 17:43:48.973787,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174348,10,
5936,target,0000001007,1,C00123,Algorithm_Experiment,2026-02-03 17:43:50.637009,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174350,10,
5937,target,0000400406,1,C00147,Algorithm_Experiment,2026-02-03 17:43:50.637009,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174350,10,
5938,target,0000100704,1,C00180,Algorithm_Experiment,2026-02-03 17:43:50.637009,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174350,10,
5939,target,0000500405,0,C00198,Algorithm_Experiment,2026-02-03 17:43:52.290896,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174352,10,
5940,target,0000000104,0,C00210,Algorithm_Experiment,2026-02-03 17:43:52.290896,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174352,10,
5941,target,0000400906,0,C00223,Algorithm_Experiment,2026-02-03 17:43:52.290896,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174352,10,
5942,target,0000100005,0,C00225,Algorithm_Experiment,2026-02-03 17:43:52.290896,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174352,10,
5943,target,0000000505,1,C00243,Algorithm_Experiment,2026-02-03 17:43:54.344202,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174354,10,
5944,target,0000301000,1,C00273,Algorithm_Experiment,2026-02-03 17:43:54.344202,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174354,10,
5945,target,0000100906,1,C00280,Algorithm_Experiment,2026-02-03 17:43:54.344202,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174354,10,
5946,target,0000200002,0,C00282,Algorithm_Experiment,2026-02-03 17:43:56.002161,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174356,10,
5947,target,0000000205,0,C00302,Algorithm_Experiment,2026-02-03 17:43:56.002161,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174356,10,
5948,target,0000500305,0,C00329,Algorithm_Experiment,2026-02-03 17:43:56.002161,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174356,10,
5949,target,0000300004,0,C00351,Algorithm_Experiment,2026-02-03 17:43:56.002161,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174356,10,
5950,target,0000500004,0,C00353,Algorithm_Experiment,2026-02-03 17:43:56.002161,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174356,10,
5951,target,0000200104,1,C00375,Algorithm_Experiment,2026-02-03 17:43:58.418257,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174358,10,
5952,target,0000300203,1,C00380,Algorithm_Experiment,2026-02-03 17:43:58.418257,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174358,10,
5953,target,0000000101,1,C00388,Algorithm_Experiment,2026-02-03 17:43:58.418257,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174358,10,
5954,target,0000100005,0,C00225,Algorithm_Experiment,2026-02-03 17:44:00.078756,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174400,10,
5955,target,0000500004,0,C00353,Algorithm_Experiment,2026-02-03 17:44:00.078756,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174400,10,
5956,target,0000101000,0,C00392,Algorithm_Experiment,2026-02-03 17:44:00.078756,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174400,10,
5957,target,0000100306,0,C00001,Algorithm_Experiment,2026-02-03 17:44:01.767333,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174401,10,
5958,target,0000100607,0,C00014,Algorithm_Experiment,2026-02-03 17:44:01.767333,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174401,10,
5959,target,0000500207,0,C00054,Algorithm_Experiment,2026-02-03 17:44:01.767333,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174401,10,
5960,target,0000200103,1,C00063,Algorithm_Experiment,2026-02-03 17:44:03.429143,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174403,10,
5961,target,0000300307,1,C00094,Algorithm_Experiment,2026-02-03 17:44:03.429143,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174403,10,
5962,target,0000000306,1,C00103,Algorithm_Experiment,2026-02-03 17:44:03.429143,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174403,10,
5963,target,0000400804,0,C00132,Algorithm_Experiment,2026-02-03 17:44:05.085071,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174405,10,
5964,target,0000500601,0,C00135,Algorithm_Experiment,2026-02-03 17:44:05.085071,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174405,10,
5965,target,0000200506,0,C00220,Algorithm_Experiment,2026-02-03 17:44:05.085071,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174405,10,
5966,target,0000000007,1,C00221,Algorithm_Experiment,2026-02-03 17:44:06.736338,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174406,10,
5967,target,0000200904,1,C00238,Algorithm_Experiment,2026-02-03 17:44:06.736338,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174406,10,
5968,target,0000200003,1,C00310,Algorithm_Experiment,2026-02-03 17:44:06.736338,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174406,10,
5969,target,0000400407,0,C00314,Algorithm_Experiment,2026-02-03 17:44:10.214364,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174410,10,
5970,target,0000400805,0,C00340,Algorithm_Experiment,2026-02-03 17:44:10.214364,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174410,10,
5971,target,0000300405,0,C00385,Algorithm_Experiment,2026-02-03 17:44:10.214364,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174410,10,
5972,target,0000000306,1,C00103,Algorithm_Experiment,2026-02-03 17:44:11.871472,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174411,10,
5973,target,0000200705,1,C00207,Algorithm_Experiment,2026-02-03 17:44:11.871472,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174411,10,
5974,target,0000200506,1,C00220,Algorithm_Experiment,2026-02-03 17:44:11.871472,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174411,10,
5975,target,0000000101,1,C00388,Algorithm_Experiment,2026-02-03 17:44:11.871472,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174411,10,
5976,target,0000300805,0,C00018,Algorithm_Experiment,2026-02-03 17:44:13.947022,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174413,10,
5977,target,0000300306,0,C00019,Algorithm_Experiment,2026-02-03 17:44:13.947022,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174413,10,
5978,target,0000100007,0,C00026,Algorithm_Experiment,2026-02-03 17:44:13.947022,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174413,10,
