Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063630,34,1653.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063634,11,556.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063639,26,1253.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063650,93,3908.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063701,8,466.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063706,16,819.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063710,30,1401.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063714,19,859.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063718,10,616.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063720,19,856.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063722,17,828.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063726,32,1531.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063732,32,1469.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063737,11,496.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063740,27,1250.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063743,20,826.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063748,10,598.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063751,17,804.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063756,30,1537.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063802,29,1401.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063807,24,1224.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063813,37,1879.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063820,51,2306.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063832,74,3473.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063842,29,1497.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063849,38,1638.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063903,104,4743.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063915,16,860.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063920,32,1562.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063926,34,1544.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063932,8,516.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063940,60,2738.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063947,17,828.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312063951,14,748.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064000,66,2974.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064013,43,1999.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064022,32,1392.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064028,71,3217.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064035,46,2334.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064043,29,1357.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064049,42,2032.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064055,16,818.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064100,22,1300.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064110,85,3672.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064128,102,4630.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064144,58,2567.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064153,18,782.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064200,66,2958.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064212,39,1975.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064220,39,1943.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064224,11,688.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064230,27,1232.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064236,21,1236.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064241,18,944.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064245,15,728.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064249,15,700.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064252,5,385.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064259,55,2686.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064311,75,3474.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064322,17,906.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064327,16,876.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064331,9,436.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064336,12,742.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064341,16,782.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064345,25,1310.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064349,15,700.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064354,26,1290.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064400,19,858.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064407,40,1919.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064413,11,558.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064417,15,808.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064422,79,3375.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064426,9,456.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064430,65,3126.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064436,15,754.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064440,16,728.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064445,16,820.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064449,11,512.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064453,45,2095.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064458,23,1066.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312064502,19,926.0,0.0
