Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165521,8,427.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165524,6,317.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165527,6,339.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165529,18,1046.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165532,9,530.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165536,11,497.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165540,11,521.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165546,5,217.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165550,8,440.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165554,7,558.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165559,21,994.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165606,7,265.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165611,2,287.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165613,10,632.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165619,2,239.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165621,3,203.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165623,4,201.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165627,5,215.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165629,3,255.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165632,10,624.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165635,8,434.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165640,21,1040.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165650,4,201.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165654,5,259.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165657,4,203.0,0.0
